Item,Where to get,Item Type,Resulting Quantity,Time Required
Raw wood,Tree,Resource,,
Coal,Coal resource,Resource,,
Iron ore,Iron resource,Resource,,
Copper ore,Copper resource,Resource,,
Stone,Stone resource,Resource,,
Raw fish,Fish,Resource,,
Alien artifact,Remnants of Alien spawners.,Resource,,
Water,Pumped from Lakes,Resource,,
Crude Oil,Extracted from Oil Fields byPumpjacks.,Resource,,
Wood,Created from Raw wood,Intermediate Product,,
Iron plate,Smelted from Iron ore in a Furnace.,Intermediate Product,,
Copper plate,Smelted from Copper ore in a Furnace.,Intermediate Product,,
Steel plate,Smelted from Iron plate in a Furnace.,Intermediate Product,,
Stone brick,Baked from Stone in a Furnace.,Intermediate Product,,
Concrete,,,,
Sulfur,Created from Water and Petroleum Gasin a Chemical plant.,Intermediate Product,,
Plastic bar,Created from Coal and Petroleum Gas in a Chemical plant.,Intermediate Product,,
Battery,"Created from Iron plate, Copper plateand Sulfuric Acid in a Chemical plant.",Intermediate Product,,
Iron stick,Common intermediate product,Intermediate Product,,
Iron gear wheel,Common intermediate product,Intermediate Product,,
Copper cable,Used for creation of circuits and wires.,Intermediate Product,,
Electronic circuit,Used for creation of electrical devices,Intermediate Product,,
Advanced circuit,Used for advanced electrical devices,Intermediate Product,,
Processing Unit,Used for even more advanced electrical devices.,Intermediate Product,,
Engine unit,"Used for a Diesel locomotive, Car, and for making Electric engine units.",Intermediate Product,,
Electric engine unit,"Used for Power armor, Robots and Small Pump.",Intermediate Product,,
Flying robot frame,Used for creation of Logistic robot andConstruction robot.,Intermediate Product,,
Science pack 1,Used for research,Intermediate Product,,
Science pack 2,Used for research,Intermediate Product,,
Science pack 3,Used for research,Intermediate Product,,
Alien science pack,Used for research,Intermediate Product,,
Empty barrel,Used to storage and transport Crude Oil.,Intermediate Product,,
Explosives,Mainly used for explosive weaponry.,Intermediate Product,,
Petroleum Gas,Converted from Crude Oil. Used to create various items.,Chemical,,
Light Oil,Converted from Crude Oil. Used to create various items. Can be converted intoPetroleum Gas.,Chemical,,
Heavy Oil,Converted from Crude Oil. Can be converted to Light Oil and Lubricant.,Chemical,,
Sulfuric Acid,Converted from Sulfur and Water. Can be used to create various items.,Chemical,,
Lubricant,Converted from Heavy Oil. Used mainly to create Express transport belts and Engines.,Chemical,,
Iron Axe,,Player Equipment: Tool,,
Steel Axe,,Player Equipment: Tool,,
Pistol,"Regular magazine
Piercing rounds magazine",Player Equipment: Weapon,,
Submachine gun,"Regular magazine
Piercing rounds magazine",Player Equipment: Weapon,,
Rocket launcher,"Rocket
Explosive rocket",Player Equipment: Weapon,,
Flamethrower,Flamethrower ammo,Player Equipment: Weapon,,
Land mine,-,Player Equipment: Weapon,,
Shotgun,"Shotgun shells
Piercing shotgun shells",Player Equipment: Weapon,,
Combat shotgun,"Shotgun shells
Piercing shotgun shells",Player Equipment: Weapon,,
Basic grenade,-,Player Equipment: Weapon,,
Defender capsule,-,Player Equipment: Weapon,,
Poison capsule,-,Player Equipment: Weapon,,
Slowdown capsule,-,Player Equipment: Weapon,,
Distractor capsule,-,Player Equipment: Weapon,,
Destroyer capsule,-,Player Equipment: Weapon,,
Basic electric discharge defense remote,-,Player Equipment: Weapon,,
Tank,"Cannon shells
Explosive cannon shells",Player Equipment: Weapon,,
Regular magazine,"Most basic bullet type, available from start.",Player Equipment: Ammo,,
Piercing rounds magazine,"Intermediate bullet type, much more expensive but more powerful.",Player Equipment: Ammo,,
Shotgun shells,Ammo for shotguns.,Player Equipment: Ammo,,
Piercing shotgun shells,Advanced ammo for shotguns.,Player Equipment: Ammo,,
Rocket,Ammo for Rocket launcher,Player Equipment: Ammo,,
Explosive rocket,Ammo for Rocket launcher with splash damage,Player Equipment: Ammo,,
Flamethrower ammo,Ammo for Flamethrower,Player Equipment: Ammo,,
Cannon shells,Ammo for Tank Cannon,Player Equipment: Ammo,,
Explosive cannon shells,Ammo for Tank Cannon,Player Equipment: Ammo,,
Iron armor,,Armor,,
Heavy armor,,Armor,,
Basic modular armor,,Armor,,
Power armor,,Armor,,
Power armor MK2,,Armor,,
Night vision,Providing better sight at night.,Modular Armor,,
Battery MK1,Basic energy storage forModular armor.,Modular Armor,,
Battery MK2,Advanced energy storage forModular armor.,Modular Armor,,
Energy shield,Basic personal protective shield.,Modular Armor,,
Energy shield MK2,Advanced personal protective shield.,Modular Armor,,
Portable solar panel,Small power generating device for Modular armor.,Modular Armor,,
Portable fusion reactor,Advanced power generator forModular armor.,Modular Armor,,
Personal laser defense,Powerful personal laser based defense.,Modular Armor,,
Discharge defense,A powerful defense system. Activated by Remote.,Modular Armor,,
Basic exoskeleton equipment,Enhances movement speed.,Modular Armor,,
Efficiency module,,Module,,
Productivity module,,Module,,
Speed module,,Module,,
Efficiency module 2,,Module,,
Productivity module 2,,Module,,
Speed module 2,,Module,,
Efficiency module 3,,Module,,
Productivity module 3,,Module,,
Speed module 3,,Module,,
Car,Can be driven around and has storage space.,Special,,
Red wire,Used in the Circuit network.,Special,,
Green wire,Used in the Circuit network.,Special,,
Logistic robot,Move items inside a Logistic network from chest to chest.,Special,,
Construction robot,Repairs or replaces entities.,Special,,
Roboport,The Roboport is the home for allRobots.,Special,,
Blueprint,A tool to 'copy & paste' buildings.,Special,,
Deconstruction planner,A tool to deconstruct buildings.,Special,,
Basic transport belt,,Transport Belt,,
Basic underground belt,,Transport Belt,,
Basic splitter,,Transport Belt,,
Fast transport belt,,Transport Belt,,
Fast underground belt,,Transport Belt,,
Fast splitter,,Transport Belt,,
Express transport belt,,Transport Belt,,
Express underground belt,,Transport Belt,,
Express splitter,,Transport Belt,,
Burner inserter,,Inserter,,
Inserter,,Inserter,,
Long handed inserter,,Inserter,,
Fast inserter,,Inserter,,
Smart inserter,,Inserter,,
Wooden Chest,,Storage,,
Iron Chest,,Storage,,
Steel Chest,,Storage,,
Smart Chest,,Storage,,
Active Provider Chest,,Storage,,
Passive Provider Chest,,Storage,,
Storage Chest,,Storage,,
Requester Chest,,Storage,,
Wall,,Defensive Structure,,
Gun turret,,Defensive Structure,,
Laser turret,,Defensive Structure,,
Rocket Silo,,Defensive Structure,,
Burner Mining Drill,,Machine or Furnace,,
Electric Mining Drill,,Machine or Furnace,,
Stone Furnace,,Machine or Furnace,,
Steel Furnace,,Machine or Furnace,,
Electric Furnace,,Machine or Furnace,,
